distanceX,distanceY,nbCities,nbDepot,nbTrips,nbCombined,maxPercentageCombined,maxfolderOfTimeSlotUnit,startHorizon(minute),endHorizon(minute),maxDriveTime(minute),maxWorkTime(Minute),VehicleFixedCost,DriverFixedCost,idleCostVehiclePerMinute,idleCostDriverPerMinute,costPerChange
90,90,3,2,25,0,0,0,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,25,0,0,1,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,25,0,0,2,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,25,0,0,3,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,25,0,0,4,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,25,0,0,5,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,25,0,0,6,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,25,5,0.25,0,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,25,5,0.25,1,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,25,5,0.25,2,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,25,5,0.25,3,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,25,5,0.25,4,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,25,5,0.25,5,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,25,5,0.25,6,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,30,0,0,0,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,30,0,0,1,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,30,0,0,2,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,30,0,0,3,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,30,0,0,4,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,30,0,0,5,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,30,0,0,6,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,30,5,0.25,0,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,30,5,0.25,1,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,30,5,0.25,2,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,30,5,0.25,3,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,30,5,0.25,4,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,30,5,0.25,5,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,30,5,0.25,6,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,35,0,0,0,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,35,0,0,1,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,35,0,0,2,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,35,0,0,3,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,35,0,0,4,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,35,0,0,5,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,35,0,0,6,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,35,5,0.25,0,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,35,5,0.25,1,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,35,5,0.25,2,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,35,5,0.25,3,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,35,5,0.25,4,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,35,5,0.25,5,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,35,5,0.25,6,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,40,0,0,0,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,40,0,0,1,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,40,0,0,2,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,40,0,0,3,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,40,0,0,4,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,40,0,0,5,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,40,0,0,6,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,40,5,0.25,0,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,40,5,0.25,1,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,40,5,0.25,2,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,40,5,0.25,3,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,40,5,0.25,4,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,40,5,0.25,5,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,40,5,0.25,6,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,45,,0,0,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,45,,0,1,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,45,,0,2,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,45,,0,3,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,45,,0,4,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,45,,0,5,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,45,,0,6,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,45,,0.25,0,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,45,,0.25,1,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,45,,0.25,2,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,45,,0.25,3,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,45,,0.25,4,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,45,,0.25,5,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,45,,0.25,6,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,50,0,0,0,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,50,0,0,1,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,50,0,0,2,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,50,0,0,3,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,50,0,0,4,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,50,0,0,5,0,1440,540,720,100000,4000,20,1,30
90,90,3,2,50,0,0,6,0,1440,540,720,100000,4000,20,1,30
