sep=,
name,minPlanTime(min),maxPlanTime(min),shortConTimeDriver(min),shortConTimeVehicle(min),maxDrivingTime(min),maxWorkingTime(min),nbCities,nbTrips,nbTripStartFromDepot,nbNodes,nbArcs,maxPercentCombine,timeWindowRange(min),maxNbDriverAvailable,initialNbColumns,nbColumnsGeneratedByIterations,nbColumnsGeneratedByPostProcess,finalNbColumnsInModel,nbIteration,initialMasterObjectiveValue,finalMasterObjectiveValue,finalLowerBoundMP,finalIntegerObjectiveValue,gap(%),elapsedTime(sec),timeOfSolvingSubPByLabelingAlgorithm(milli sec),timeOfSolRMPByCplex(milli sec),timeOfSolveFinalIntegerProblemByCplex(sec),timePostProcessForRichSchedules(sec),timeForCreatingModelInCG(sec),nbLabelsInTotal,nbLabelsFinalIteration,nbLabelsPerIteration
nbCities:3; nbDepots:2; size:90 90;nbTrips:25;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow0;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,3,25,15,31,128,0.0,0,5,94,0,0,94,1,20650.0,20650.0,20650.0,20650.0,0.0,0.0,31.0,62.0,0.0,0.0,0.052,1166,1166,1166,
nbCities:3; nbDepots:2; size:90 90;nbTrips:25;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow1;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,3,25,15,31,130,0.0,10,5,94,68,83,245,4,20650.0,20610.0,20610.0,20610.0,0.0,0.0,28.0,27.0,0.0,0.0,0.017,20284,7984,5071,
nbCities:3; nbDepots:2; size:90 90;nbTrips:25;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow2;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,3,25,15,31,131,0.0,20,5,94,79,162,335,3,20650.0,20560.0,20560.0,20560.0,0.0,0.0,33.0,19.0,0.0,0.0,0.009,18964,9198,6321,
nbCities:3; nbDepots:2; size:90 90;nbTrips:25;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow3;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,3,25,15,31,134,0.0,30,5,94,202,635,931,4,20650.0,20520.0,20520.0,20520.0,0.0,0.0,28.0,33.0,0.0,0.0,0.015,43368,16830,10842,
nbCities:3; nbDepots:2; size:90 90;nbTrips:25;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow4;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,3,25,15,31,134,0.0,40,5,94,336,1375,1805,7,20650.0,20490.0,20490.0,20490.0,0.0,0.0,80.0,71.0,0.0,0.0,0.037,161388,39338,23055,
nbCities:3; nbDepots:2; size:90 90;nbTrips:25;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow5;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,3,25,15,31,135,0.0,50,5,94,323,1786,2203,5,20650.0,20460.0,20460.0,20460.0,0.0,0.0,84.0,48.0,0.0,0.0,0.024,117806,38312,23561,
nbCities:3; nbDepots:2; size:90 90;nbTrips:25;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow6;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,3,25,15,31,136,0.0,60,5,94,460,3208,3762,6,20650.0,20365.0,20365.0,20365.0,0.0,0.0,172.0,64.0,0.0,0.0,0.032,212714,58798,35452,
nbCities:3; nbDepots:2; size:90 90;nbTrips:25;nbCombinedTrips1;maxFolderTimeSlotAsTimeWindow0;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,3,25,16,31,125,0.25,0,5,106,19,0,125,2,20695.0,20695.0,20695.0,20695.0,0.0,0.0,5.0,4.0,0.0,0.0,0.002,3520,2286,1760,
nbCities:3; nbDepots:2; size:90 90;nbTrips:25;nbCombinedTrips1;maxFolderTimeSlotAsTimeWindow1;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,3,25,16,31,127,0.25,10,5,106,126,428,660,6,20695.0,20655.0,20655.0,20655.0,0.0,0.0,13.0,23.0,0.0,0.0,0.01,41076,11450,6846,
nbCities:3; nbDepots:2; size:90 90;nbTrips:25;nbCombinedTrips1;maxFolderTimeSlotAsTimeWindow2;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,3,25,16,31,129,0.25,20,5,106,163,466,735,6,20695.0,20615.0,20615.0,20615.0,0.0,0.0,20.0,27.0,0.0,0.0,0.01,63406,17850,10567,
nbCities:3; nbDepots:2; size:90 90;nbTrips:25;nbCombinedTrips1;maxFolderTimeSlotAsTimeWindow3;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,3,25,16,31,131,0.25,30,5,106,271,1341,1718,6,20695.0,16600.0,16600.0,16600.0,0.0,0.0,51.0,40.0,0.0,0.0,0.017,97588,27394,16264,
nbCities:3; nbDepots:2; size:90 90;nbTrips:25;nbCombinedTrips1;maxFolderTimeSlotAsTimeWindow4;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,3,25,16,31,133,0.25,40,5,106,332,1627,2065,8,20695.0,16560.0,16560.0,16565.0,0.03018412315122246,0.0,71.0,59.0,0.0,0.0,0.027,225896,49350,28237,
nbCities:3; nbDepots:2; size:90 90;nbTrips:25;nbCombinedTrips1;maxFolderTimeSlotAsTimeWindow5;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,3,25,16,31,134,0.25,50,5,106,291,1701,2098,5,20695.0,16520.0,16520.0,16525.0,0.030257186081694403,0.0,72.0,31.0,0.0,0.0,0.014,130996,42440,26199,
nbCities:3; nbDepots:2; size:90 90;nbTrips:25;nbCombinedTrips1;maxFolderTimeSlotAsTimeWindow6;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,3,25,16,31,136,0.25,60,5,106,729,6588,7423,13,20695.0,16420.0,16420.0,16430.0,0.06086427267194157,1.0,305.0,159.0,0.0,1.0,0.085,994478,138328,76498,
