name,minPlanTime,maxPlanTime,shortConTimeDriver,shortConTimeVehicle,maxDrivingTime,maxWorkingTime,nbCities,nbTrips,nbNodes,nbArcs,maxPercentCombine,maxNbDriverAvailable,maxNbVehicleAvailable,lb,ub,gap,fixedCost,idleTimeCost,changeOverCost,nbDrivers,nbVehicles,elapsedTime(s),
nbCities:5; nbDepots:2; size:180 180;nbTrips:20;nbCombinedTrips0;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20.0,20.0,720.0,540.0,720.0,5,20,26,79,0.0,5,5,509790.0,509790.0,0.00%,500000.0,9760.0,0.0,0,5.0,0.0,
nbCities:5; nbDepots:2; size:180 180;nbTrips:20;nbCombinedTrips1;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20.0,20.0,720.0,540.0,720.0,5,20,26,76,0.1,6,6,411150.0,411150.0,0.00%,400000.0,11120.0,0.0,0,4.0,0.0,
nbCities:5; nbDepots:2; size:180 180;nbTrips:50;nbCombinedTrips0;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20.0,20.0,720.0,540.0,720.0,5,50,56,306,0.0,13,13,732600.0,732600.0,0.00%,700000.0,32540.0,0.0,0,7.0,0.158,
nbCities:5; nbDepots:2; size:180 180;nbTrips:50;nbCombinedTrips1;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20.0,20.0,720.0,540.0,720.0,5,50,56,286,0.1,14,14,834240.0,834240.0,0.00%,800000.0,34120.0,0.0,0,8.0,0.129,
nbCities:5; nbDepots:2; size:180 180;nbTrips:100;nbCombinedTrips0;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20.0,20.0,720.0,540.0,720.0,5,100,106,1023,0.0,27,27,1270110.0,1270110.0,0.00%,1200000.0,70020.0,0.0,0,12.0,1.474,
nbCities:5; nbDepots:2; size:180 180;nbTrips:100;nbCombinedTrips2;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20.0,20.0,720.0,540.0,720.0,5,100,106,1005,0.1,28,28,1563550.0,1563550.0,0.00%,1500000.0,63340.0,0.0,0,15.0,1.684,
nbCities:5; nbDepots:2; size:180 180;nbTrips:40;nbCombinedTrips0;planningHorizon:0-2880;maxDriving:540;maxWorking:720,15,20.0,20.0,720.0,540.0,720.0,5,40,46,229,0.0,11,11,538610.0,538610.0,0.00%,500000.0,35920.0,0.0,0,5.0,0.078,
nbCities:5; nbDepots:2; size:180 180;nbTrips:40;nbCombinedTrips0;planningHorizon:0-2880;maxDriving:540;maxWorking:720,15,20.0,20.0,720.0,540.0,720.0,5,40,46,229,0.1,11,11,538610.0,538610.0,0.00%,500000.0,35920.0,0.0,0,5.0,0.068,
nbCities:5; nbDepots:2; size:180 180;nbTrips:100;nbCombinedTrips0;planningHorizon:0-2880;maxDriving:540;maxWorking:720,15,20.0,20.0,720.0,540.0,720.0,5,100,106,1112,0.0,27,27,899040.0,899040.0,0.00%,800000.0,85620.0,0.0,0,8.0,2.262,
nbCities:5; nbDepots:2; size:180 180;nbTrips:100;nbCombinedTrips1;planningHorizon:0-2880;maxDriving:540;maxWorking:720,15,20.0,20.0,720.0,540.0,720.0,5,100,106,1097,0.1,27,27,987980.0,987980.0,0.00%,900000.0,67720.0,0.0,0,9.0,1.835,
nbCities:5; nbDepots:2; size:180 180;nbTrips:200;nbCombinedTrips0;planningHorizon:0-2880;maxDriving:540;maxWorking:720,15,20.0,20.0,720.0,540.0,720.0,5,200,206,4145,0.0,54,54,1561480.0,1561480.0,0.00%,1400000.0,131000.0,0.0,0,14.0,49.43,
nbCities:5; nbDepots:2; size:180 180;nbTrips:200;nbCombinedTrips1;planningHorizon:0-2880;maxDriving:540;maxWorking:720,15,20.0,20.0,720.0,540.0,720.0,5,200,206,4124,0.1,55,55,1451570.0,1451570.0,0.00%,1300000.0,113560.0,0.0,0,13.0,19.14,
