name,minPlanTime,maxPlanTime,shortConTimeDriver,shortConTimeVehicle,maxDrivingTime,maxWorkingTime,nbCities,nbTrips,maxPercentCombine,timeWindowRange,nbNodes,nbArcs,maxNbDriverAvailable,maxNbVehicleAvailable,lb,ub,gap(%),totalCost,totalFixedCost,fixedCostForDrivers,fixedCostForVehicles,totalIdleTimeCost,idleTimeCostForDrivers,idleTimeCostForVehicles,changeOverCost,nbDrivers,nbVehicles,elapsedTime(sec),
nbCities:3; nbDepots:2; size:90 90;nbTrips:25;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow0;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,25,0.0,0,31,128,5,5,513650.0,513650.0,0.0,533650.0,520000.0,20000.0,500000.0,13650.0,650.0,13000.0,0.0,5,5,0.003,
nbCities:3; nbDepots:2; size:90 90;nbTrips:25;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow1;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,25,0.0,10,31,130,5,5,512810.0,512810.0,0.0,532810.0,520000.0,20000.0,500000.0,12810.0,610.0,12200.0,0.0,5,5,0.001,
nbCities:3; nbDepots:2; size:90 90;nbTrips:25;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow2;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,25,0.0,20,31,131,5,5,511760.0,511760.0,0.0,531760.0,520000.0,20000.0,500000.0,11760.0,560.0,11200.0,0.0,5,5,0.002,
nbCities:3; nbDepots:2; size:90 90;nbTrips:25;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow3;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,25,0.0,30,31,134,5,5,510450.0,510450.0,0.0,530450.0,520000.0,20000.0,500000.0,10420.0,520.0,9900.0,30.0,5,5,0.001,
nbCities:3; nbDepots:2; size:90 90;nbTrips:25;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow4;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,25,0.0,40,31,134,5,5,509820.0,509820.0,0.0,529820.0,520000.0,20000.0,500000.0,9790.0,490.0,9300.0,30.0,5,5,0.001,
nbCities:3; nbDepots:2; size:90 90;nbTrips:25;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow5;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,25,0.0,50,31,135,5,5,509190.0,509190.0,0.0,529190.0,520000.0,20000.0,500000.0,9160.0,460.0,8700.0,30.0,5,5,0.001,
nbCities:3; nbDepots:2; size:90 90;nbTrips:25;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow6;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,25,0.0,60,31,136,5,5,507665.0,507665.0,0.0,527665.0,520000.0,20000.0,500000.0,7665.0,365.0,7300.0,0.0,5,5,0.001,
nbCities:3; nbDepots:2; size:90 90;nbTrips:25;nbCombinedTrips1;maxFolderTimeSlotAsTimeWindow0;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,25,0.25,0,31,125,5,5,513995.0,513995.0,0.0,533995.0,520000.0,20000.0,500000.0,13965.0,665.0,13300.0,30.0,5,5,0.002,
nbCities:3; nbDepots:2; size:90 90;nbTrips:25;nbCombinedTrips1;maxFolderTimeSlotAsTimeWindow1;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,25,0.25,10,31,127,5,5,513155.0,513155.0,0.0,533155.0,520000.0,20000.0,500000.0,13125.0,625.0,12500.0,30.0,5,5,0.001,
nbCities:3; nbDepots:2; size:90 90;nbTrips:25;nbCombinedTrips1;maxFolderTimeSlotAsTimeWindow2;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,25,0.25,20,31,129,5,5,512315.0,512315.0,0.0,532315.0,520000.0,20000.0,500000.0,12285.0,585.0,11700.0,30.0,5,5,0.001,
nbCities:3; nbDepots:2; size:90 90;nbTrips:25;nbCombinedTrips1;maxFolderTimeSlotAsTimeWindow3;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,25,0.25,30,31,131,5,5,412030.0,412030.0,0.0,428030.0,416000.0,16000.0,400000.0,11970.0,570.0,11400.0,60.0,4,4,0.002,
nbCities:3; nbDepots:2; size:90 90;nbTrips:25;nbCombinedTrips1;maxFolderTimeSlotAsTimeWindow4;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,25,0.25,40,31,133,5,5,411295.0,411295.0,0.0,427295.0,416000.0,16000.0,400000.0,11235.0,535.0,10700.0,60.0,4,4,0.002,
nbCities:3; nbDepots:2; size:90 90;nbTrips:25;nbCombinedTrips1;maxFolderTimeSlotAsTimeWindow5;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,25,0.25,50,31,134,5,5,410425.0,410425.0,0.0,426425.0,416000.0,16000.0,400000.0,10395.0,495.0,9900.0,30.0,4,4,0.002,
nbCities:3; nbDepots:2; size:90 90;nbTrips:25;nbCombinedTrips1;maxFolderTimeSlotAsTimeWindow6;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,25,0.25,60,31,136,5,5,408460.0,408460.0,0.0,424460.0,416000.0,16000.0,400000.0,8400.0,400.0,8000.0,60.0,4,4,0.002,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow0;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,30,0.0,0,36,172,6,6,518480.0,518480.0,0.0,538480.0,520000.0,20000.0,500000.0,18480.0,880.0,17600.0,0.0,5,5,0.001,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow1;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,30,0.0,10,36,176,6,6,517010.0,517010.0,0.0,537010.0,520000.0,20000.0,500000.0,17010.0,810.0,16200.0,0.0,5,5,0.002,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow2;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,30,0.0,20,36,178,6,6,516170.0,516170.0,0.0,536170.0,520000.0,20000.0,500000.0,16170.0,770.0,15400.0,0.0,5,5,0.002,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow3;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,30,0.0,30,36,182,6,6,512705.0,512705.0,0.0,532705.0,520000.0,20000.0,500000.0,12705.0,605.0,12100.0,0.0,5,5,0.002,
