name,nbTasks,maxPercentCombine,nbDrivers(Vehicles)Available,lengthOfDepartureTimeFlexibility,nbDriversInSolution,nbVehiclesInSolution,nbTripsHavePassenger,nbTripsHavePassenger(NormalTrip),nbTripsHavePassenger(CombineTrip),nbTripsPerformedPerDriver,totalWorkTimePerDriver(minute),totalDriveTimePerDriver(minute),totalPassengerTimePerDriver(minute),totalIdleTimePerDriver(minute),shortestIdleTime(minute),longestIdleTime(minute),shortestWorkingTime(minute),longestWorkingTime(minute),nbChangeoversPerDriver,nbChangeoverPerDriver_ChangeStatus,nbChangeoverPerDriver_ChangeVehicle,
nbCities:3; nbDepots:2; size:90 90;nbTrips:25;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow0;planningHorizon:0-1440;maxDriving:540;maxWorking:720,25,0.0,5,1,5,5,0,0,0,5.0,382.0,252.0,0.0,130.0,15.0,55.0,165.0,540.0,0.0,0.0,0.0,
nbCities:3; nbDepots:2; size:90 90;nbTrips:25;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow1;planningHorizon:0-1440;maxDriving:540;maxWorking:720,25,0.0,5,11,5,5,0,0,0,5.0,374.0,252.0,0.0,122.0,15.0,55.0,155.0,530.0,0.0,0.0,0.0,
nbCities:3; nbDepots:2; size:90 90;nbTrips:25;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow2;planningHorizon:0-1440;maxDriving:540;maxWorking:720,25,0.0,5,21,5,5,0,0,0,5.0,364.0,252.0,0.0,112.0,15.0,62.0,135.0,520.0,0.0,0.0,0.0,
nbCities:3; nbDepots:2; size:90 90;nbTrips:25;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow3;planningHorizon:0-1440;maxDriving:540;maxWorking:720,25,0.0,5,31,5,5,0,0,0,5.0,356.0,252.0,0.0,104.0,15.0,55.0,180.0,505.0,0.2,0.0,0.2,
nbCities:3; nbDepots:2; size:90 90;nbTrips:25;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow4;planningHorizon:0-1440;maxDriving:540;maxWorking:720,25,0.0,5,41,5,5,0,0,0,5.0,350.0,252.0,0.0,98.0,15.0,70.0,180.0,495.0,0.2,0.0,0.2,
nbCities:3; nbDepots:2; size:90 90;nbTrips:25;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow5;planningHorizon:0-1440;maxDriving:540;maxWorking:720,25,0.0,5,51,5,5,0,0,0,5.0,344.0,252.0,0.0,92.0,15.0,55.0,180.0,485.0,0.2,0.0,0.2,
nbCities:3; nbDepots:2; size:90 90;nbTrips:25;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow6;planningHorizon:0-1440;maxDriving:540;maxWorking:720,25,0.0,5,61,5,5,0,0,0,5.0,325.0,252.0,0.0,73.0,15.0,39.0,180.0,450.0,0.0,0.0,0.0,
nbCities:3; nbDepots:2; size:90 90;nbTrips:25;nbCombinedTrips1;maxFolderTimeSlotAsTimeWindow0;planningHorizon:0-1440;maxDriving:540;maxWorking:720,25,0.25,5,1,5,5,1,0,1,5.0,391.0,249.0,9.0,133.0,15.0,60.0,180.0,540.0,0.2,0.2,0.2,
nbCities:3; nbDepots:2; size:90 90;nbTrips:25;nbCombinedTrips1;maxFolderTimeSlotAsTimeWindow1;planningHorizon:0-1440;maxDriving:540;maxWorking:720,25,0.25,5,11,5,5,1,0,1,5.0,383.0,249.0,9.0,125.0,15.0,55.0,180.0,530.0,0.2,0.2,0.2,
nbCities:3; nbDepots:2; size:90 90;nbTrips:25;nbCombinedTrips1;maxFolderTimeSlotAsTimeWindow2;planningHorizon:0-1440;maxDriving:540;maxWorking:720,25,0.25,5,21,5,5,1,0,1,5.0,375.0,249.0,9.0,117.0,15.0,65.0,180.0,520.0,0.2,0.2,0.2,
nbCities:3; nbDepots:2; size:90 90;nbTrips:25;nbCombinedTrips1;maxFolderTimeSlotAsTimeWindow3;planningHorizon:0-1440;maxDriving:540;maxWorking:720,25,0.25,5,31,4,4,1,0,1,6.25,465.0,311.25,11.25,142.5,15.0,65.0,320.0,560.0,0.5,0.5,0.25,
nbCities:3; nbDepots:2; size:90 90;nbTrips:25;nbCombinedTrips1;maxFolderTimeSlotAsTimeWindow4;planningHorizon:0-1440;maxDriving:540;maxWorking:720,25,0.25,5,41,4,4,1,0,1,6.25,456.25,311.25,11.25,133.75,15.0,75.0,310.0,555.0,0.5,0.5,0.25,
nbCities:3; nbDepots:2; size:90 90;nbTrips:25;nbCombinedTrips1;maxFolderTimeSlotAsTimeWindow5;planningHorizon:0-1440;maxDriving:540;maxWorking:720,25,0.25,5,51,4,4,1,0,1,6.25,446.25,311.25,11.25,123.75,15.0,75.0,245.0,565.0,0.25,0.25,0.25,
nbCities:3; nbDepots:2; size:90 90;nbTrips:25;nbCombinedTrips1;maxFolderTimeSlotAsTimeWindow6;planningHorizon:0-1440;maxDriving:540;maxWorking:720,25,0.25,5,61,4,4,1,0,1,6.25,422.5,311.25,11.25,100.0,15.0,45.0,235.0,525.0,0.5,0.5,0.25,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow0;planningHorizon:0-1440;maxDriving:540;maxWorking:720,30,0.0,6,1,5,5,0,0,0,6.0,470.0,294.0,0.0,176.0,15.0,55.0,110.0,680.0,0.0,0.0,0.0,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow1;planningHorizon:0-1440;maxDriving:540;maxWorking:720,30,0.0,6,11,5,5,0,0,0,6.0,456.0,294.0,0.0,162.0,15.0,75.0,105.0,655.0,0.0,0.0,0.0,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow2;planningHorizon:0-1440;maxDriving:540;maxWorking:720,30,0.0,6,21,5,5,0,0,0,6.0,448.0,294.0,0.0,154.0,15.0,75.0,105.0,645.0,0.0,0.0,0.0,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow3;planningHorizon:0-1440;maxDriving:540;maxWorking:720,30,0.0,6,31,5,5,0,0,0,6.0,415.0,294.0,0.0,121.0,15.0,60.0,105.0,675.0,0.0,0.0,0.0,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow4;planningHorizon:0-1440;maxDriving:540;maxWorking:720,30,0.0,6,41,4,4,0,0,0,7.5,512.5,367.5,0.0,145.0,15.0,60.0,380.0,650.0,0.0,0.0,0.0,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow5;planningHorizon:0-1440;maxDriving:540;maxWorking:720,30,0.0,6,51,4,4,0,0,0,7.5,502.5,367.5,0.0,135.0,15.0,50.0,370.0,655.0,0.0,0.0,0.0,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow6;planningHorizon:0-1440;maxDriving:540;maxWorking:720,30,0.0,6,61,4,4,0,0,0,7.5,492.5,367.5,0.0,125.0,15.0,45.0,360.0,645.0,0.0,0.0,0.0,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips2;maxFolderTimeSlotAsTimeWindow0;planningHorizon:0-1440;maxDriving:540;maxWorking:720,30,0.25,6,1,6,6,2,0,2,5.0,416.6666666666667,250.0,15.0,151.66666666666666,15.0,60.0,140.0,665.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips2;maxFolderTimeSlotAsTimeWindow1;planningHorizon:0-1440;maxDriving:540;maxWorking:720,30,0.25,6,11,6,6,2,0,2,5.0,407.5,250.0,15.0,142.5,15.0,60.0,135.0,655.0,0.5,0.3333333333333333,0.5,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips2;maxFolderTimeSlotAsTimeWindow2;planningHorizon:0-1440;maxDriving:540;maxWorking:720,30,0.25,6,21,6,6,2,0,2,5.0,390.0,250.0,15.0,125.0,15.0,55.0,180.0,520.0,0.5,0.3333333333333333,0.5,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips2;maxFolderTimeSlotAsTimeWindow3;planningHorizon:0-1440;maxDriving:540;maxWorking:720,30,0.25,6,31,6,6,2,0,2,5.0,381.6666666666667,250.0,15.0,116.66666666666667,15.0,60.0,125.0,560.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips2;maxFolderTimeSlotAsTimeWindow4;planningHorizon:0-1440;maxDriving:540;maxWorking:720,30,0.25,6,41,5,5,4,2,2,6.0,486.0,300.0,36.0,150.0,15.0,65.0,115.0,665.0,1.0,0.8,1.0,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips2;maxFolderTimeSlotAsTimeWindow5;planningHorizon:0-1440;maxDriving:540;maxWorking:720,30,0.25,6,51,5,5,4,3,1,6.0,484.0,300.0,36.0,148.0,15.0,75.0,365.0,655.0,1.4,0.8,1.0,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips2;maxFolderTimeSlotAsTimeWindow6;planningHorizon:0-1440;maxDriving:540;maxWorking:720,30,0.25,6,61,5,5,3,3,0,6.0,477.0,300.0,30.0,147.0,15.0,115.0,445.0,540.0,1.4,0.4,1.4,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow0;planningHorizon:0-1440;maxDriving:540;maxWorking:720,35,0.0,6,1,6,6,0,0,0,5.833333333333333,451.6666666666667,290.0,0.0,161.66666666666666,15.0,55.0,140.0,540.0,0.0,0.0,0.0,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow1;planningHorizon:0-1440;maxDriving:540;maxWorking:720,35,0.0,6,11,6,6,0,0,0,5.833333333333333,437.5,290.0,0.0,147.5,15.0,75.0,310.0,635.0,0.0,0.0,0.0,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow2;planningHorizon:0-1440;maxDriving:540;maxWorking:720,35,0.0,6,21,6,6,0,0,0,5.833333333333333,427.5,290.0,0.0,137.5,15.0,75.0,300.0,520.0,0.0,0.0,0.0,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow3;planningHorizon:0-1440;maxDriving:540;maxWorking:720,35,0.0,6,31,6,6,0,0,0,5.833333333333333,403.3333333333333,290.0,0.0,113.33333333333333,15.0,75.0,295.0,490.0,0.0,0.0,0.0,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow4;planningHorizon:0-1440;maxDriving:540;maxWorking:720,35,0.0,6,41,6,5,0,0,0,5.833333333333333,388.3333333333333,290.0,0.0,98.33333333333333,15.0,60.0,180.0,675.0,0.0,0.0,0.0,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow5;planningHorizon:0-1440;maxDriving:540;maxWorking:720,35,0.0,6,51,6,5,0,0,0,5.833333333333333,389.1666666666667,290.0,0.0,99.16666666666667,15.0,100.0,190.0,645.0,0.16666666666666666,0.0,0.16666666666666666,
